"Date Time, GMT+00:00",Temp,albedo,SW_down,melt_rate,SOY,DOY,qsuh_mmh,Qsuh_m3s
2017-07-19 14:00:00,2.5278541666666747,0.5281715095676779,104.6,0.5903133532660101,17244000.0,199.58333333333334,0.15493049149116445,0.0301253733455042
2017-07-19 15:00:00,2.4584062500000083,0.5281715095676779,144.6,0.7642484698352299,17247600.0,199.625,0.17946906150202624,0.03489676195872732
2017-07-19 16:00:00,2.436145833333341,0.5281715095676779,157.0,0.818131777846688,17251200.0,199.66666666666666,0.21594965278510164,0.04199021026376976
2017-07-19 17:00:00,2.4205104166666738,0.5281715095676779,126.0,0.6798591849013761,17254800.0,199.70833333333334,0.2573188874706927,0.050034228119301354
2017-07-19 18:00:00,2.328385416666673,0.5281715095676779,65.2,0.4055935160494953,17258400.0,199.75,0.2888740455065237,0.05616995329293516
2017-07-19 19:00:00,2.2356666666666736,0.5281715095676779,106.6,0.5845743538861377,17262000.0,199.79166666666666,0.2970628357058236,0.057762218053910144
2017-07-19 20:00:00,1.9847812500000064,0.5281715095676779,73.4,0.4247818477586853,17265600.0,199.83333333333334,0.3038004575339307,0.059072311187153184
2017-07-19 21:00:00,1.6535208333333398,0.5281715095676779,67.0,0.3798336249409434,17269200.0,199.875,0.3001124991388837,0.058355208165894054
2017-07-19 22:00:00,1.2431770833333398,0.5281715095676779,49.8,0.2830312071078456,17272800.0,199.91666666666666,0.28942223916970533,0.05627654650522047
2017-07-19 23:00:00,0.8446458333333396,0.5281715095676779,43.6,0.2356064801854499,17276400.0,199.95833333333334,0.2710483873094237,0.052703853087943495
2017-07-20 00:00:00,0.5091875000000063,0.6007824540604609,24.4,0.117023911336693,17280000.0,200.0,0.24830940587922193,0.04828238447651537
2017-07-20 01:00:00,0.1869583333333398,0.6007824540604609,25.4,0.10466509793519133,17283600.0,200.04166666666666,0.21910940428137365,0.04260460638804488
2017-07-20 02:00:00,0.015427083333339822,0.6007824540604609,8.6,0.03304410058041933,17287200.0,200.08333333333334,0.18920314721475504,0.03678950084731348
2017-07-20 03:00:00,-0.09306249999999353,0.6007824540604609,3.8,0.0,17290800.0,200.125,0.15794102806905416,0.030710755457871643
2017-07-20 04:00:00,-0.18256249999999347,0.6007824540604609,2.8,0.0,17294400.0,200.16666666666666,0.1273514255036446,0.024762777181264222
2017-07-20 05:00:00,-0.2503854166666602,0.6007824540604609,2.8,0.0,17298000.0,200.20833333333334,0.10019024304717922,0.019481436148062622
2017-07-20 06:00:00,-0.29329166666666023,0.6007824540604609,4.2,0.0,17301600.0,200.25,0.07738646713283771,0.015047368609162887
2017-07-20 07:00:00,-0.3054479166666602,0.6007824540604609,11.2,0.0,17305200.0,200.29166666666666,0.058925355620022477,0.011457708037226592
2017-07-20 08:00:00,-0.2596249999999936,0.6007824540604609,19.0,0.0,17308800.0,200.33333333333334,0.044352444544236196,0.008624086439157037
2017-07-20 09:00:00,-0.18193749999999348,0.6007824540604609,61.8,0.0,17312400.0,200.375,0.03306904168351082,0.006430091438460436
2017-07-20 10:00:00,0.006833333333339898,0.6007824540604609,96.8,0.3635976960679724,17316000.0,200.41666666666666,0.02444815431908388,0.0047538077842663095
2017-07-20 11:00:00,0.2371041666666733,0.6007824540604609,146.6,0.5619929553398559,17319600.0,200.45833333333334,0.0386444918546556,0.007514206749516366
2017-07-20 12:00:00,0.4732812500000066,0.6007824540604609,221.2,0.8537491214211651,17323200.0,200.5,0.0732651138517445,0.01424599436006143
2017-07-20 13:00:00,0.7138125000000066,0.6007824540604609,294.8,1.1419703509039758,17326800.0,200.54166666666666,0.1304334333617582,0.025362056487008535
2017-07-20 14:00:00,0.9155729166666734,0.6007824540604609,490.0,1.8845746624308504,17330400.0,200.58333333333334,0.20860233538521733,0.04056156521379226
2017-07-20 15:00:00,1.0847916666666733,0.6007824540604609,582.2,2.2390294626457306,17334000.0,200.625,0.33081655319149667,0.06432544089834658
2017-07-20 16:00:00,1.2266354166666733,0.6007824540604609,714.2,2.7414707811475107,17337600.0,200.66666666666666,0.4811469518507004,0.0935563517487473
2017-07-20 17:00:00,1.29714583333334,0.6007824540604609,558.1,2.1592084281219206,17341200.0,200.70833333333334,0.6577946933230878,0.12790452370171151
2017-07-20 18:00:00,1.3124895833333396,0.6007824540604609,402.0,1.5741877417629973,17344800.0,200.75,0.7955022403155735,0.1546809911724726
2017-07-20 19:00:00,1.3314895833333398,0.6007824540604609,472.8,1.8408250029366795,17348400.0,200.79166666666666,0.8678453998210403,0.1687477166318689
2017-07-20 20:00:00,1.35420833333334,0.6007824540604609,356.0,1.4036520123987406,17352000.0,200.83333333333334,0.91765659047926,0.17843322592652275
2017-07-20 21:00:00,1.4072083333333398,0.6007824540604609,257.8,1.037792280092871,17355600.0,200.875,0.9270975880050074,0.18026897544541812
2017-07-20 22:00:00,1.470260416666673,0.6007824540604609,175.4,0.7317269418766081,17359200.0,200.91666666666666,0.8960315161400807,0.17422835036057124
2017-07-20 23:00:00,1.5273958333333395,0.6007824540604609,121.8,0.533441944363764,17362800.0,200.95833333333334,0.8319464823268481,0.16176737156355378
