UTC_DOY,UTC_SOY,foxx_z_meters,foxx_dz_mper6h,m3_m3s_6h,m4_m3s_6h,mF_m3s_6h
32.5,2808000,2.355,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
32.75,2829600,2.354,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
33,2851200,2.352,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
33.25,2872800,2.354,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
33.5,2894400,2.352,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
33.75,2916000,2.355,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
34,2937600,2.354,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
34.25,2959200,2.355,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
34.5,2980800,2.356,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
34.75,3002400,2.356,0,0,0,0
35,3024000,2.353,-0.00299999999999967,-0.771298888888804,-2.85136055555524,-1.65391138888871
35.25,3045600,2.354,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
35.5,3067200,2.353,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
35.75,3088800,2.351,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
36,3110400,2.352,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
36.25,3132000,2.352,0,0,0,0
36.5,3153600,2.352,0,0,0,0
36.75,3175200,2.355,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
37,3196800,2.358,0.00300000000000011,0.771298888888918,2.85136055555566,1.65391138888895
37.25,3218400,2.357,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
37.5,3240000,2.358,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
37.75,3261600,2.357,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
38,3283200,2.355,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
38.25,3304800,2.355,0,0,0,0
38.5,3326400,2.356,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
38.75,3348000,2.357,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
39,3369600,2.356,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
39.25,3391200,2.356,0,0,0,0
39.5,3412800,2.353,-0.00299999999999967,-0.771298888888804,-2.85136055555524,-1.65391138888871
39.75,3434400,2.353,0,0,0,0
40,3456000,2.354,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
40.25,3477600,2.354,0,0,0,0
40.5,3499200,2.352,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
40.75,3520800,2.354,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
41,3542400,2.354,0,0,0,0
41.25,3564000,2.353,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
41.5,3585600,2.353,0,0,0,0
41.75,3607200,2.352,-0.00100000000000033,-0.257099629629715,-0.950453518518836,-0.55130379629648
42,3628800,2.349,-0.00299999999999967,-0.771298888888804,-2.85136055555524,-1.65391138888871
42.25,3650400,2.35,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
42.5,3672000,2.349,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
42.75,3693600,2.351,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
43,3715200,2.352,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
43.25,3736800,2.353,0.00100000000000033,0.257099629629715,0.950453518518836,0.55130379629648
43.5,3758400,2.354,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
43.75,3780000,2.353,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
44,3801600,2.351,-0.00200000000000022,-0.514199259259317,-1.90090703703725,-1.10260759259272
44.25,3823200,2.352,0.00099999999999989,0.257099629629601,0.950453518518414,0.551303796296236
44.5,3844800,2.351,-0.00099999999999989,-0.257099629629601,-0.950453518518414,-0.551303796296236
44.75,3866400,2.353,0.00200000000000022,0.514199259259317,1.90090703703725,1.10260759259272
45,3888000,2.357,0.004,1.02839851851852,3.80181407407408,2.20521518518519
45.25,3909600,2.359,0.00199999999999978,0.514199259259203,1.90090703703683,1.10260759259247
45.5,3931200,2.359,0,0,0,0
45.75,3952800,2.359,0,0,0,0
