,doy,soy,head_masl,head_bed
3080,209.7118056,18119100.00384,576.7890632,483.7890632
3081,209.7152778,18119400.00192,577.8551606000001,484.8551606000001
3082,209.71875,18119700.0,578.9056732999999,485.9056732999999
3083,209.7222222,18119999.99808,579.9628297,486.96282970000004
3084,209.7256944,18120299.99616,581.0203889,488.02038889999994
3085,209.72916669999998,18120600.00288,582.0946737,489.09467370000004
3086,209.73263889999998,18120900.00096,583.1442187000001,490.1442187000001
3087,209.73611110000002,18121199.99904,585.2572676,492.2572676
3088,209.73958330000002,18121499.99712,586.3130852,493.31308520000005
3089,209.7430556,18121800.00384,587.3704384,494.3704384
3090,209.7465278,18122100.00192,589.4773230000001,496.47732300000007
3091,209.75,18122400.0,590.5307383999999,497.5307383999999
3092,209.7534722,18122699.99808,591.5727927,498.57279270000004
3093,209.7569444,18122999.99616,593.6730464,500.6730464
3094,209.76041669999998,18123300.00288,594.7351577000001,501.73515770000006
3095,209.76388889999998,18123600.00096,595.7812547,502.7812547
3096,209.76736110000002,18123899.99904,596.8307732999999,503.8307732999999
3097,209.77083330000002,18124199.99712,597.8768028,504.87680279999995
3098,209.7743056,18124500.00384,598.9302713,505.93027129999996
3099,209.7777778,18124800.00192,599.9870236,506.98702360000004
3100,209.78125,18125100.0,601.0400635999999,508.04006359999994
3101,209.7847222,18125399.99808,601.0420906,508.04209060000005
3102,209.7881944,18125699.99616,602.0965302,509.09653019999996
3103,209.79166669999998,18126000.00288,602.1186944,509.1186944
3104,209.79513889999998,18126300.00096,603.1684719,510.1684719
3105,209.79861110000002,18126599.99904,604.2133217999999,511.2133217999999
3106,209.80208330000002,18126899.99712,604.2268209,511.2268209
3107,209.8055556,18127200.00384,604.2192279,511.21922789999996
3108,209.8090278,18127500.00192,605.2762607000001,512.2762607000001
3109,209.8125,18127800.0,605.2752052,512.2752052
3110,209.8159722,18128099.99808,605.2736432,512.2736432
3111,209.8194444,18128399.99616,606.3175401000001,513.3175401000001
3112,209.82291669999998,18128700.00288,606.3250485,513.3250485
3113,209.82638889999998,18129000.00096,606.3221521,513.3221521
3114,209.82986110000002,18129299.99904,606.3185602000001,513.3185602000001
3115,209.83333330000002,18129599.99712,606.3247173999999,513.3247173999999
3116,209.8368056,18129900.00384,606.3109509,513.3109509
3117,209.8402778,18130200.00192,607.367618,514.367618
3118,209.84375,18130500.0,606.3281557,513.3281557
3119,209.8472222,18130799.99808,607.3727918,514.3727918
3120,209.8506944,18131099.99616,606.3219138999999,513.3219138999999
3121,209.85416669999998,18131400.00288,606.3347583999999,513.3347583999999
3122,209.85763889999998,18131700.00096,607.3653807000001,514.3653807000001
3123,209.86111110000002,18131999.99904,607.3744948,514.3744948
3124,209.86458330000002,18132299.99712,607.3851950000001,514.3851950000001
3125,209.8680556,18132600.00384,607.3837428999999,514.3837428999999
3126,209.8715278,18132900.00192,607.3768252,514.3768252
3127,209.875,18133200.0,607.3691632,514.3691632
3128,209.8784722,18133499.99808,607.3744948,514.3744948
3129,209.8819444,18133799.99616,607.3724077,514.3724077
3130,209.88541669999998,18134100.00288,607.3741064,514.3741064
3131,209.88888889999998,18134400.00096,607.3827474999999,514.3827474999999
3132,209.89236110000002,18134699.99904,607.3706846,514.3706846
3133,209.89583330000002,18134999.99712,607.3743006,514.3743006
3134,209.8993056,18135300.00384,606.3221443,513.3221443
3135,209.9027778,18135600.00192,606.3279615,513.3279615
3136,209.90625,18135900.0,606.3205871,513.3205871
3137,209.9097222,18136199.99808,606.3166182,513.3166182
3138,209.9131944,18136499.99616,606.3244135,513.3244135
3139,209.91666669999998,18136800.00288,606.3271847,513.3271847
3140,209.92013889999998,18137100.00096,605.2687083999999,512.2687083999999
3141,209.92361110000002,18137399.99904,605.2616372,512.2616372
3142,209.92708330000002,18137699.99712,605.2635062999999,512.2635062999999
3143,209.9305556,18138000.00384,604.2226825,511.2226825
3144,209.9340278,18138300.00192,604.2297944000001,511.22979440000006
3145,209.9375,18138600.0,603.1779747,510.17797470000005
3146,209.9409722,18138899.99808,603.1754993,510.17549929999996
3147,209.9444444,18139199.99616,602.1268018,509.12680179999995
3148,209.94791669999998,18139500.00288,601.0694659,508.06946589999995
3149,209.95138889999998,18139800.00096,601.0605048,508.0605048
3150,209.95486110000002,18140099.99904,600.0205507000001,507.02055070000006
3151,209.95833330000002,18140399.99712,598.9728685,505.9728685
3152,209.9618056,18140700.00384,597.9286643999999,504.9286643999999
3153,209.9652778,18141000.00192,596.8683017999999,503.8683017999999
3154,209.96875,18141300.0,596.8732609,503.8732609
3155,209.9722222,18141599.99808,595.8074885,502.8074885
3156,209.9756944,18141899.99616,594.7530412000001,501.7530412000001
3157,209.97916669999998,18142200.00288,593.7069947000001,500.7069947000001
3158,209.98263889999998,18142500.00096,592.6352866000001,499.6352866000001
