UTC_DOY,UTC_SOY_1h,m3_m3s_1h_24hS,m4_m3s_1h_24hS,mF_m3s_1h_24hS
226.583333333333,19576800,2.20706488138207,8.15914276162184,4.73265266671526
226.625,19580400,2.65082143908877,9.79963513512538,5.68420858784787
226.666666666667,19584000,3.05668904499393,11.3000585104564,6.55451848386579
226.708333333333,19587600,3.41825643939403,12.6367115530306,7.32983456439413
226.75,19591200,3.7356137947181,13.8099276149519,8.01035018794737
226.791666666667,19594800,3.97972859456844,14.7123784305149,8.53381035816805
226.833333333333,19598400,4.09952717514656,15.1552533680947,8.79069681249228
226.875,19602000,4.06490096240183,15.0272461602134,8.71644714295743
226.916666666667,19605600,3.87698612893985,14.3325570433794,8.31349766684493
226.958333333333,19609200,3.56816359402276,13.1908927580881,7.6512834266809
227,19612800,3.20205902356899,11.8374665488214,6.86623819023561
227.041666666667,19616400,2.8394170743897,10.4968410603429,6.08861792074384
227.083333333333,19620000,2.50891257891412,9.27502226167922,5.3799106257891
227.125,19623600,2.22685772955244,8.23231354841811,4.7750948606288
227.166666666667,19627200,2.00226075196407,7.40201679573508,4.29348714085294
227.208333333333,19630800,1.83682590505751,6.79043235839293,3.93874194238389
227.25,19634400,1.72495348099044,6.37685907074209,3.69885170147654
227.291666666667,19638000,1.66488511739695,6.15479656675743,3.57004592709988
227.333333333333,19641600,1.67677435216363,6.19874904165114,3.59554024722538
227.375,19645200,1.78375041333476,6.59422131006253,3.82493112080007
227.416666666667,19648800,1.99125069838045,7.36131450385427,4.26987806624315
227.458333333333,19652400,2.28702077419651,8.4547260721122,4.90410366144582
227.5,19656000,2.64111437710446,9.76374978114508,5.66339354377121
227.541666666667,19659600,3.01252108638476,11.1367770941186,6.45980826086401
227.583333333333,19663200,3.36087521418538,12.4245829417408,7.20679087374692
227.625,19666800,3.65752356946008,13.5212413594901,7.84289978087989
227.666666666667,19670400,3.88501778719295,14.3622487152701,8.33072010972386
227.708333333333,19674000,4.03711432839844,14.9245237094096,8.65686371674078
227.75,19677600,4.11877448012142,15.2264073746629,8.83196918739378
227.791666666667,19681200,4.12982511129812,15.2672596749905,8.85566527333511
227.833333333333,19684800,4.05811999573921,15.0021780820029,8.70190658267329
227.875,19688400,3.89414774563139,14.3960006157853,8.350297659308
227.916666666667,19692000,3.64349724812544,13.4693884397346,7.81282286396252
227.958333333333,19695600,3.32685766533638,12.2988258605599,7.13384637418399
228,19699200,2.98001843434333,11.0166203282824,6.39011218434321
228.041666666667,19702800,2.64529837781095,9.77921731876346,5.67236537883966
228.083333333333,19706400,2.35685571357733,8.7128939424652,5.05385209651836
228.125,19710000,2.13938866995179,7.90895534063419,4.5875332344772
228.166666666667,19713600,2.00579551118177,7.4150841982063,4.30106679461797
228.208333333333,19717200,1.95717453745274,7.23534074380646,4.19680788364618
228.25,19720800,1.98282408488827,7.33016274974878,4.25180871307118
228.291666666667,19724400,2.07573775575331,7.6736487575636,4.45104532632307
228.333333333333,19728000,2.29374132533162,8.47957080441288,4.91851467152518
228.375,19731600,2.71759502450447,10.0464857015532,5.82739250135651
228.416666666667,19735200,3.38120007968721,12.4997205059507,7.250373882896
228.458333333333,19738800,4.27159871282942,15.7913725202816,9.15967319762267
228.5,19742400,5.32897414141443,19.7003092929304,11.4270241414148
228.541666666667,19746000,6.44521413166544,23.8268583189772,13.820599523416
228.583333333333,19749600,7.52043468395399,27.8017654729792,16.1262161172105
228.625,19753200,8.5078092558886,31.4519210074032,18.2434628462631
228.666666666667,19756800,9.38009675666148,34.6766192516739,20.1139261033696
228.708333333333,19760400,10.1296415470486,37.4475586121737,21.721189750656
228.75,19764000,10.7683734394097,39.808841572243,23.0908351195796
228.791666666667,19767600,11.272730378041,41.6733632271438,24.1723376303238
228.833333333333,19771200,11.5837666460906,42.8232113065844,24.8392988220165
228.875,19774800,11.6648271511605,43.1228781803471,25.0131184585487
228.916666666667,19778400,11.5248119119954,42.6052657010821,24.7128810252926
228.958333333333,19782000,11.2181760584821,41.4716852043093,24.0553557291031
229,19785600,10.8449298316497,40.0918575084171,23.2549964983163
229.041666666667,19789200,10.4959219537387,38.8016348580419,22.5066120362039
229.083333333333,19792800,10.2903946806455,38.0418355532187,22.0658958591253
229.125,19796400,10.37281835761,38.3465418411777,22.2426385719821
229.166666666667,19800000,10.8145283932319,39.9794685712808,23.1898060955268
229.208333333333,19803600,11.6137252594715,42.933963195021,24.9035396663634
229.25,19807200,12.6954744916484,46.9330057660211,27.2231558369461
229.291666666667,19810800,13.9410307623609,51.53761504421,29.894026664468
229.333333333333,19814400,15.2818179393373,56.4942767546044,32.7691029987177
229.375,19818000,16.7099251561741,61.7737457721971,35.8314214131567
229.416666666667,19821600,18.2131262076578,67.3308238997759,39.0547650152979
229.458333333333,19825200,19.7748795497653,73.1043598679237,42.4036634467061
229.5,19828800,21.3743282996637,79.0172493350182,45.8333928829974
229.541666666667,19832400,22.9062559347097,84.6805247467439,49.1183354636956
229.583333333333,19836000,24.2033473017458,89.4756504939705,51.8997140126273
229.625,19839600,25.146075377932,92.9607555418003,53.9212243820716
229.666666666667,19843200,25.6828395788411,94.9450813228358,55.0722184231886
229.708333333333,19846800,25.8299657584585,95.4889817371812,55.3877039860209
