Day (2011),Borehole 4 (m),Borehole 6 (m),Borehole 7 (m),FOXX velocity (m/a),FOXX bed seperation (m),Temperature (*C),FOXX  Moulin Dday,FOXX moulin (m)
141.8541667,NaN,NaN,NaN,78.65947103,0.012028281,-4.418001918,199.6354167,545.923165
141.8645833,NaN,NaN,NaN,78.54865829,0.011250334,-4.459996479,199.6388889,548.0758262
141.875,NaN,NaN,NaN,78.8796369,0.010379103,-4.515995199,199.6423611,549.1377395
141.8854167,NaN,NaN,NaN,78.81479453,0.009487457,-4.589996799,199.6458333,551.2765265
141.8958333,NaN,NaN,NaN,79.37836639,0.008653137,-4.675998399,199.6493056,553.4146937
141.90625,NaN,NaN,NaN,79.22223032,0.007769631,-4.767999039,199.6527778,555.5635426
141.9166667,NaN,NaN,NaN,79.25439084,0.006999161,-4.865997759,199.65625,557.7146728
141.9270833,NaN,NaN,NaN,78.99319962,0.006405654,-4.983994239,199.6597222,558.7805364
141.9375,NaN,NaN,NaN,79.62239102,0.005773053,-5.115994879,199.6631944,559.8290421
141.9479167,NaN,NaN,NaN,79.85344686,0.005021958,-5.251996159,199.6666667,560.8805989
141.9583333,NaN,NaN,NaN,79.9380222,0.004292177,-5.389994559,199.6701389,563.0035377
141.96875,NaN,NaN,NaN,80.5626969,0.003672926,-5.519999038,199.6736111,564.077792
141.9791667,NaN,NaN,NaN,81.42149781,0.003068928,-5.661999678,199.6770833,565.1510888
141.9895833,NaN,NaN,NaN,81.81089513,0.002576485,-5.809996479,199.6805556,566.2070445
142,NaN,NaN,NaN,82.66273409,0.002168415,-5.93999808,199.6840278,567.2680497
142.0104167,NaN,NaN,NaN,82.87463905,0.001757255,-6.06999968,199.6875,569.3977629
142.0208333,NaN,NaN,NaN,82.93807563,0.001531555,-6.21200064,199.6909722,570.4720164
142.03125,NaN,NaN,NaN,83.65651095,0.001287168,-6.357996801,199.6944444,571.5253614
142.0416667,NaN,NaN,NaN,83.34264314,0.001085376,-6.493996161,199.6979167,572.5987811
142.0520833,NaN,NaN,NaN,82.90714208,0.000870425,-6.62199936,199.7013889,573.6761625
142.0625,NaN,NaN,NaN,82.44572345,0.000727485,-6.74200128,199.7048611,574.719965
142.0729167,NaN,NaN,NaN,82.91942027,0.000617735,-6.85000128,199.7083333,575.7788785
142.0833333,NaN,NaN,NaN,82.97433592,0.000418353,-6.95800192,199.7118056,576.8432995
142.09375,NaN,NaN,NaN,82.7656714,0.000273007,-7.06800128,199.7152778,576.8283721
142.1041667,NaN,NaN,NaN,83.07902871,0.000201842,-7.17800064,199.71875,577.8917151
142.1145833,NaN,NaN,NaN,82.81448717,0.000111502,-7.29999904,199.7222222,578.9605571
142.125,NaN,NaN,NaN,82.48014714,5.18E-05,-7.43,199.7256944,580.0160954
142.1354167,NaN,NaN,NaN,82.63732912,3.44E-05,-7.55800064,199.7291667,581.0651271
142.1458333,NaN,NaN,NaN,82.01882524,0.000108547,-7.67999904,199.7326389,582.1248001
142.15625,NaN,NaN,NaN,82.01909459,0.000187374,-7.79199776,199.7361111,583.1893977
142.1666667,NaN,NaN,NaN,82.03389264,0.000269225,-7.89999776,199.7395833,584.2434432
142.1770833,NaN,NaN,NaN,82.59734447,0.000385703,-8.017996799,199.7430556,584.236627
142.1875,NaN,NaN,NaN,82.58837534,0.000368958,-8.13199968,199.7465278,585.3030292
142.1979167,NaN,NaN,NaN,82.70442318,0.000422834,-8.22799968,199.75,586.365838
142.2083333,NaN,NaN,NaN,82.9486786,0.00054419,-8.315999679,199.7534722,586.3640902
142.21875,NaN,NaN,NaN,83.07431076,0.000554465,-8.400000319,199.7569444,587.4162491
142.2291667,NaN,NaN,NaN,83.17074435,0.000604923,-8.48999904,199.7604167,588.4821079
142.2395833,NaN,NaN,NaN,83.38941022,0.000577753,-8.57799904,199.7638889,588.4942166
142.25,NaN,NaN,NaN,83.85903752,0.000468799,-8.66999776,199.7673611,589.5275512
142.2604167,NaN,NaN,NaN,84.13580918,0.000421483,-8.76999776,199.7708333,589.5292417
142.2708333,NaN,NaN,NaN,83.71997446,0.000311783,-8.85999296,199.7743056,590.5889643
142.28125,NaN,NaN,NaN,83.79574248,0.000199922,-8.929992321,199.7777778,590.5870913
142.2916667,NaN,NaN,NaN,83.9256118,0.000169729,-8.98799552,199.78125,591.6477345
142.3020833,NaN,NaN,NaN,83.62412941,0.000177282,-9.02799872,199.7847222,591.6337816
142.3125,NaN,NaN,NaN,84.02013253,0.000164103,-9.04799936,199.7881944,591.64449
142.3229167,NaN,NaN,NaN,84.11741613,0.000122865,-9.06199904,199.7916667,591.6497529
142.3333333,NaN,NaN,NaN,84.09859822,0.00019156,-9.07399904,199.7951389,592.6861825
142.34375,NaN,NaN,NaN,84.32333524,0.000198766,-9.0859984,199.7986111,592.6985048
142.3541667,NaN,NaN,NaN,84.27484183,0.000265217,-9.0959984,199.8020833,592.7012841
142.3645833,NaN,NaN,NaN,84.06623829,0.000314597,-9.10399904,199.8055556,592.7050341
142.375,NaN,NaN,NaN,84.09770364,0.000451406,-9.09800128,199.8090278,592.7054745
142.3854167,NaN,NaN,NaN,83.82228801,0.000568044,-9.0599984,199.8125,592.6908428
142.3958333,NaN,NaN,NaN,84.03210151,0.000589146,-8.99999776,199.8159722,592.6973396
142.40625,NaN,NaN,NaN,84.27832159,0.000742376,-8.93599776,199.8194444,592.7032945
142.4166667,NaN,NaN,NaN,84.4367042,0.00080669,-8.87199776,199.8229167,592.7041645
142.4270833,NaN,NaN,NaN,84.63135648,0.000857799,-8.79999904,199.8263889,592.7140227
142.4375,NaN,NaN,NaN,84.62706208,0.001007553,-8.70600128,199.8298611,592.7000584
142.4479167,NaN,NaN,NaN,84.3443139,0.001124117,-8.58399904,199.8333333,592.7138691
142.4583333,NaN,NaN,NaN,84.12292078,0.001267692,-8.447995201,199.8368056,592.7098924
142.46875,NaN,NaN,NaN,84.44193484,0.001430877,-8.299993921,199.8402778,592.6998395
142.4791667,NaN,NaN,NaN,84.45144937,0.001508736,-8.13599776,199.84375,592.7096539
142.4895833,NaN,NaN,NaN,84.6026454,0.001559703,-7.95800064,199.8472222,591.6539437
142.5,NaN,NaN,NaN,84.45401717,0.001707557,-7.774,199.8506944,591.6437656
142.5104167,NaN,NaN,NaN,84.4815441,0.001831556,-7.58799904,199.8541667,591.6543321
142.5208333,NaN,NaN,NaN,84.98349512,0.001955772,-7.39599776,199.8576389,591.6473542
142.53125,NaN,NaN,NaN,84.35901475,0.002094935,-7.200000959,199.8611111,590.6146885
142.5416667,NaN,NaN,NaN,83.99999486,0.002239396,-7.010002239,199.8645833,590.6103963
142.5520833,NaN,NaN,NaN,83.78468805,0.002400738,-6.8339984,199.8680556,590.6122368
142.5625,NaN,NaN,NaN,84.0450128,0.002520654,-6.677995839,199.8715278,589.544606
142.5729167,NaN,NaN,NaN,84.38384264,0.002637308,-6.539996159,199.875,589.5561435
142.5833333,NaN,NaN,NaN,84.29410373,0.002731863,-6.405997119,199.8784722,588.4903959
142.59375,NaN,NaN,NaN,84.15641537,0.002913313,-6.275997119,199.8819444,588.5007682
142.6041667,NaN,NaN,NaN,84.12533782,0.003034348,-6.147996479,199.8854167,588.4911727
142.6145833,NaN,NaN,NaN,84.64099938,0.003176372,-6.01599712,199.8888889,587.4365562
142.625,NaN,NaN,NaN,84.64966891,0.003272214,-5.87999712,199.8923611,587.4429678
142.6354167,NaN,NaN,NaN,84.68223538,0.003378536,-5.739996479,199.8958333,586.3820588
142.6458333,NaN,NaN,NaN,84.50960017,0.00351347,-5.61399872,199.8993056,586.3873949
142.65625,NaN,NaN,NaN,84.21580029,0.003551767,-5.50399872,199.9027778,585.3247448
142.6666667,NaN,NaN,NaN,84.04607235,0.003609783,-5.39199936,199.90625,585.324939
142.6770833,NaN,NaN,NaN,83.36776331,0.003606793,-5.276,199.9097222,584.2785047
142.6875,NaN,NaN,NaN,83.08887722,0.00367932,-5.16399872,199.9131944,584.2683266
142.6979167,NaN,NaN,NaN,83.49240464,0.003772003,-5.0579984,199.9166667,583.2137506
142.7083333,NaN,NaN,NaN,83.75559195,0.00375964,-4.964002559,199.9201389,583.202864
142.71875,NaN,NaN,NaN,83.41320566,0.003764689,-4.890006398,199.9236111,582.1419558
142.7291667,NaN,NaN,NaN,83.2888177,0.003835464,-4.834004479,199.9270833,582.1510296
142.7395833,NaN,NaN,NaN,83.5538219,0.003916734,-4.80199872,199.9305556,581.1025382
142.75,NaN,NaN,NaN,83.12255899,0.003921418,-4.79199712,199.9340278,580.0444936
142.7604167,NaN,NaN,NaN,83.34255181,0.003884713,-4.79799808,199.9375,580.0317825
142.7708333,NaN,NaN,NaN,83.34001093,0.003824709,-4.816000319,199.9409722,578.9854597
142.78125,NaN,NaN,NaN,83.60554585,0.003806538,-4.844001599,199.9444444,577.9070222
142.7916667,NaN,NaN,NaN,84.2263934,0.003743725,-4.880000319,199.9479167,577.9132645
142.8020833,NaN,NaN,NaN,84.90127505,0.00368356,-4.92799776,199.9513889,576.8679193
142.8125,NaN,NaN,NaN,84.25425291,0.00361721,-4.9799984,199.9548611,575.7908812
