Date,melt_rate,melt_mmperh_smooth_6h,Qm3s,SOY,DOY,q_suh_mmh
2017-08-02 18:00:00,1.273454,1.242408958333326,0.27609087962962797,18468000.0,213.75,3.3870941510942103
2017-08-02 19:00:00,1.340046,1.1385688124999924,0.25301529166666503,18471600.0,213.79166666666666,3.689683466882743
2017-08-02 20:00:00,1.1190210000000003,1.009089166666659,0.22424203703703538,18475200.0,213.83333333333334,3.89114665401018
2017-08-02 21:00:00,0.9112915000000001,0.842144958333326,0.1871433240740725,18478800.0,213.875,3.9754801614429276
2017-08-02 22:00:00,0.6961330000000001,0.6509698124999928,0.14465995833333173,18482400.0,213.91666666666666,3.9328182568887042
2017-08-02 23:00:00,0.44285850000000004,0.477212520833326,0.10604722685185021,18486000.0,213.95833333333334,3.7622173964330696
2017-08-03 00:00:00,0.1475875,0.33614397916665933,0.07469866203703542,18489600.0,214.0,3.48296934862624
2017-08-03 01:00:00,0.17129200000000003,0.22940622916665931,0.0509791620370354,18493200.0,214.04166666666666,3.1276355543358108
2017-08-03 02:00:00,0.1453375,0.156414958333326,0.034758879629628,18496800.0,214.08333333333334,2.7322523482967247
2017-08-03 03:00:00,0.141592,0.1365425416666593,0.030342787037035406,18500400.0,214.125,2.330568653598809
2017-08-03 04:00:00,0.126542,0.14935137499999265,0.03318919444444281,18504000.0,214.16666666666666,1.9592698278664935
2017-08-03 05:00:00,0.107196,0.194997020833326,0.04333267129629467,18507600.0,214.20833333333334,1.6448149732802504
2017-08-03 06:00:00,0.1402625,0.27697893749999275,0.06155087499999838,18511200.0,214.25,1.4062874116522281
2017-08-03 07:00:00,0.2979375000000001,0.4005898333333261,0.08901996296296136,18514800.0,214.29166666666666,1.2587508977343007
2017-08-03 08:00:00,0.5064960000000001,0.5648936041666595,0.12553191203703545,18518400.0,214.33333333333334,1.2158991872663123
2017-08-03 09:00:00,0.7186750000000001,0.6972798749999927,0.15495108333333169,18522000.0,214.375,1.2890419118108107
2017-08-03 10:00:00,0.9657875,0.7600741458333259,0.16890536574073906,18525600.0,214.41666666666666,1.459314526350048
2017-08-03 11:00:00,1.1884665,0.9537663541666592,0.21194807870370208,18529200.0,214.45833333333334,1.6813326981011891
2017-08-03 12:00:00,0.5499125,1.1343989999999926,0.2520886666666651,18532800.0,214.5,1.9790683000025626
2017-08-03 13:00:00,1.0499585000000002,1.276116520833326,0.2835814490740725,18536400.0,214.54166666666666,2.3508889657881524
2017-08-03 14:00:00,1.6829960000000004,1.3723219166666598,0.3049604259259244,18540000.0,214.58333333333334,2.7735364704641277
2017-08-03 15:00:00,1.7317875000000005,1.4837522916666597,0.3297227314814799,18543600.0,214.625,3.2135913906126063
2017-08-03 16:00:00,1.7151875000000003,1.622316499999993,0.3605147777777762,18547200.0,214.66666666666666,3.6596679406928625
2017-08-03 17:00:00,1.6484250000000003,1.5658081458333264,0.3479573657407392,18550800.0,214.70833333333334,4.116285155749203
2017-08-03 18:00:00,1.5324415,1.4523003333333264,0.3227334074074058,18554400.0,214.75,4.509548753742296
2017-08-03 19:00:00,1.376875,1.3006991041666593,0.28904424537036877,18558000.0,214.79166666666666,4.789801711212836
2017-08-03 20:00:00,1.1780750000000002,1.1209537916666592,0.24910084259259097,18561600.0,214.83333333333334,4.930928616696534
2017-08-03 21:00:00,0.9532750000000002,0.9231133749999927,0.20513630555555393,18565200.0,214.875,4.924182233114193
2017-08-03 22:00:00,0.7311875,0.7181769374999926,0.15959487499999836,18568800.0,214.91666666666666,4.773649653370843
2017-08-03 23:00:00,0.5221375000000001,0.5311033124999925,0.11802295833333165,18572400.0,214.95833333333334,4.493155644536061
2017-08-04 00:00:00,0.3185875,0.3775373749999924,0.08389719444444277,18576000.0,215.0,4.109188548742997
2017-08-04 01:00:00,0.15760849999999998,0.26002077083332575,0.05778239351851684,18579600.0,215.04166666666666,3.657427961935599
2017-08-04 02:00:00,0.1250125,0.17564943749999243,0.039033208333331654,18583200.0,215.08333333333334,3.175159705427665
2017-08-04 03:00:00,0.112117,0.12500083333332576,0.02777796296296128,18586800.0,215.125,2.695498296977276
2017-08-04 04:00:00,0.10632100000000001,0.12076558333332577,0.026836796296294617,18590400.0,215.16666666666666,2.2464528806704203
2017-08-04 05:00:00,0.08402099999999998,0.15989477083332582,0.03553217129629463,18594000.0,215.20833333333334,1.8557198011836347
